dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1703980800,2023-12-31 00:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,36.27,10000,32.77,30.04,34.95,37.98,1011,,,87,8.01,242,11.01,,,,,75,803,Clouds,broken clouds,04n
1703984400,2023-12-31 01:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,37.76,10000,33.67,33.26,36.99,39,1011,,,85,5.75,190,,,,,,75,803,Clouds,broken clouds,04n
1703988000,2023-12-31 02:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,37.36,10000,33.85,32.79,36,38.98,1011,,,87,5.75,230,,,,,,75,803,Clouds,broken clouds,04n
1703991600,2023-12-31 03:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,37.22,10000,33.42,30.58,36,39,1011,,,86,9.22,250,,,,,,75,803,Clouds,broken clouds,04n
1703995200,2023-12-31 04:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,37.15,10000,32.77,31.08,36,39,1011,,,84,8.05,260,,,,,,100,804,Clouds,overcast clouds,04n
1703998800,2023-12-31 05:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,36.36,10000,32.58,30.79,34.95,37.99,1011,,,86,6.91,250,,,,,,100,804,Clouds,overcast clouds,04n
1704002400,2023-12-31 06:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,36.32,10000,32.25,29.46,34.95,37.99,1011,,,85,9.22,260,,,,,,100,804,Clouds,overcast clouds,04n
1704006000,2023-12-31 07:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,36.75,10000,31.82,31.28,35.1,37.99,1011,,,82,6.91,260,,,,,,100,804,Clouds,overcast clouds,04n
1704009600,2023-12-31 08:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,36.28,10000,30.87,29.41,35.98,37.44,1011,,,80,9.22,270,,,,,,100,804,Clouds,overcast clouds,04n
1704013200,2023-12-31 09:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,35.31,10000,28.63,29.55,34,36,1011,,,75,6.91,260,,,,,,100,804,Clouds,overcast clouds,04n
1704016800,2023-12-31 10:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,34.02,10000,28.36,26.06,33.01,35.64,1011,,,78,10.36,270,,,,,,100,600,Snow,light snow,13n
1704020400,2023-12-31 11:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.24,10000,28.78,25.09,32,34,1011,,,82,10.36,250,,,,,,100,300,Drizzle,light intensity drizzle,09n
1704024000,2023-12-31 12:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.83,10000,29.7,24.58,30.99,34,1012,,,87,10.36,260,,,,,,100,300,Drizzle,light intensity drizzle,09n
1704027600,2023-12-31 13:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.61,9656,30,25.56,30.99,34,1012,,,89,8.05,240,,,,0.12,,100,300,Drizzle,light intensity drizzle,09n
1704027600,2023-12-31 13:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.61,9656,30,25.56,30.99,34,1012,,,89,8.05,240,,,,0.12,,100,701,Mist,mist,50n
1704027600,2023-12-31 13:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.61,9656,30,25.56,30.99,34,1012,,,89,8.05,240,,,,0.12,,100,600,Snow,light snow,13n
1704031200,2023-12-31 14:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.7,10000,29.59,25.66,30.99,34,1012,,,87,8.05,270,,,,0.17,,100,300,Drizzle,light intensity drizzle,09d
1704031200,2023-12-31 14:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.7,10000,29.59,25.66,30.99,34,1012,,,87,8.05,270,,,,0.17,,100,701,Mist,mist,50d
1704031200,2023-12-31 14:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.7,10000,29.59,25.66,30.99,34,1012,,,87,8.05,270,,,,0.17,,100,600,Snow,light snow,13d
1704034800,2023-12-31 15:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,31.95,2414,29.66,26.37,30.99,32.99,1013,,,90,5.75,250,,,,0.18,,100,701,Mist,mist,50d
1704034800,2023-12-31 15:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,31.95,2414,29.66,26.37,30.99,32.99,1013,,,90,5.75,250,,,,0.18,,100,600,Snow,light snow,13d
1704038400,2023-12-31 16:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,31.06,2816,28.54,20.03,29.95,33.84,1013,,,89,15.99,306,20,,,0.14,,100,600,Snow,light snow,13d
1704038400,2023-12-31 16:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,31.06,2816,28.54,20.03,29.95,33.84,1013,,,89,15.99,306,20,,,0.14,,100,701,Mist,mist,50d
1704042000,2023-12-31 17:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,31.46,6437,28.69,20.89,30.94,34.05,1014,,,88,15.01,298,20,,,0.1,,100,600,Snow,light snow,13d
1704045600,2023-12-31 18:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,31.75,9656,28.98,21.25,30.94,34.05,1014,,,88,15.01,297,20,,,,,100,600,Snow,light snow,13d
1704049200,2023-12-31 19:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.88,10000,29.5,22.05,32,35.64,1014,,,86,17,290,25.99,,,1.78,,100,601,Snow,snow,13d
1704052800,2023-12-31 20:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.26,10000,29.05,22.86,32,35.64,1014,,,83,15.99,291,23,0.25,,,,100,600,Snow,light snow,13d
1704052800,2023-12-31 20:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.26,10000,29.05,22.86,32,35.64,1014,,,83,15.99,291,23,0.25,,,,100,500,Rain,light rain,10d
1704056400,2023-12-31 21:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.69,10000,29.95,23.41,32.95,35.64,1015,,,85,15.99,289,21,0.25,,,,100,600,Snow,light snow,13d
1704056400,2023-12-31 21:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.69,10000,29.95,23.41,32.95,35.64,1015,,,85,15.99,289,21,0.25,,,,100,500,Rain,light rain,10d
1704060000,2023-12-31 22:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.53,4828,30.06,24.3,31.95,36,1016,,,86,13,287,15.99,0.25,,,,100,600,Snow,light snow,13d
1704060000,2023-12-31 22:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.53,4828,30.06,24.3,31.95,36,1016,,,86,13,287,15.99,0.25,,,,100,701,Mist,mist,50d
1704060000,2023-12-31 22:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,33.53,4828,30.06,24.3,31.95,36,1016,,,86,13,287,15.99,0.25,,,,100,500,Rain,light rain,10d
1704063600,2023-12-31 23:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.9,6437,30,23.5,31.95,34.99,1017,,,88,13,311,17,,,0.11,,100,600,Snow,light snow,13n
1704063600,2023-12-31 23:00:00 +0000 UTC,-21600,Chicago,41.878114,-87.629798,32.9,6437,30,23.5,31.95,34.99,1017,,,88,13,311,17,,,0.11,,100,701,Mist,mist,50n
